bin	total	mapQltT	mapQ0
3526327	47	0	0
3526337	47	0	0
3526347	47	0	0
3526357	49	0	0
3526367	50	0	0
3526377	49	0	0
3526387	46	0	0
3526397	45	0	0
3526407	43	0	0
3526417	44	0	0
3526427	40	0	0
3526437	41	0	0
3526447	43	0	0
3526457	45	0	0
3526467	45	0	0
3526477	45	0	0
3526487	44	0	0
3526497	47	0	0
3526507	49	0	0
3526517	55	0	0
3526527	58	0	0
3526537	56	0	0
3526547	51	0	0
3526557	52	0	0
3526567	55	0	0
3526577	60	0	0
3526587	58	0	0
3526597	57	0	0
3526607	51	0	0
3526617	49	0	0
3526627	46	0	0
3526637	48	0	0
3526647	49	0	0
3526657	47	0	0
3526667	45	0	0
3526677	40	0	0
3526687	41	0	0
3526697	43	0	0
3526707	47	0	0
3526717	47	0	0
3526727	45	0	0
3526737	48	0	0
3526747	48	0	0
3526757	48	0	0
3526767	47	0	0
3526777	48	2	0
3526787	51	4	4
3526797	56	4	12
3526807	52	4	15
3526817	59	4	19
3526827	61	4	17
3526837	36	2	5
3526847	44	2	3
3526857	50	1	2
3526867	58	1	0
3526877	63	1	0
3526887	68	1	0
3526897	71	1	0
3526907	75	0	0
3526917	55	0	0
3526927	48	0	0
3526937	52	0	0
3526947	51	0	0
3526957	50	0	0
3526967	47	0	0
3526977	44	0	0
3526987	44	0	0
3526997	51	0	0
3527007	55	0	0
3527017	57	0	0
3527027	51	0	0
3527037	48	0	0
3527047	51	0	0
3527057	54	0	0
3527067	60	0	0
3527077	62	0	0
3527087	66	0	0
3527097	61	0	0
3527107	60	0	0
3527117	58	0	0
3527127	60	0	0
3527137	65	0	0
3527147	67	0	0
3527157	62	0	0
3527167	60	0	0
3527177	57	0	0
3527187	54	0	0
3527197	52	0	0
3527207	48	0	0
3527217	51	0	0
3527227	53	0	0
3527237	54	0	0
3527247	56	0	0
3527257	58	0	0
3527267	61	0	0
3527277	64	0	0
3527287	66	0	0
3527297	68	0	0
3527307	71	0	0
3527317	74	0	0
