bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
907335	62	0	0	0	0	0	1	1
907345	58	0	0	0	0	0	1	1
907355	56	0	0	0	0	0	1	1
907365	46	0	0	0	0	0	0	0
907375	43	0	0	0	0	0	0	0
907385	46	0	0	0	0	0	0	0
907395	49	0	0	0	0	0	0	0
907405	44	0	0	0	0	0	0	0
907415	48	0	0	0	0	0	0	0
907425	52	0	0	0	0	0	0	0
907435	61	0	0	0	0	0	1	1
907445	59	0	0	0	0	0	1	1
907455	60	0	0	0	0	0	1	1
907465	57	0	0	0	0	0	1	1
907475	53	0	0	0	0	0	2	2
907485	48	0	0	0	0	0	4	4
907495	47	0	0	0	0	0	6	6
907505	40	0	0	0	0	0	7	7
907515	42	0	0	0	0	0	10	10
907525	42	0	0	0	0	0	16	16
907535	42	0	0	0	0	0	20	20
907545	37	0	0	0	0	0	25	25
907555	46	0	0	0	0	0	28	28
907565	41	0	0	0	0	0	15	15
907575	45	0	0	0	0	0	18	18
907585	54	0	0	0	0	0	22	22
907595	66	0	0	0	0	0	30	30
907605	70	0	0	0	0	0	32	32
907615	68	0	0	0	0	0	30	30
907625	68	0	0	0	0	0	29	29
907635	68	0	0	0	0	0	25	25
907645	47	0	0	0	0	0	2	2
907655	50	0	0	0	0	0	2	2
907665	44	0	0	0	0	0	2	2
907675	36	0	0	0	0	0	1	1
907685	40	0	0	0	0	0	0	0
907695	38	0	0	0	0	0	0	0
907705	39	0	0	0	0	0	0	0
907715	43	0	0	0	0	0	0	0
907725	46	0	0	0	0	0	0	0
907735	52	0	0	0	0	0	0	0
907745	54	0	0	0	0	0	0	0
907755	54	0	0	0	0	0	0	0
907765	54	0	0	0	0	0	1	1
907775	59	0	0	0	0	0	5	5
907785	62	0	0	0	0	0	9	9
907795	57	0	0	0	0	0	11	11
907805	62	0	0	0	0	0	16	16
907815	60	0	0	0	0	2	18	18
907825	57	0	0	0	0	2	18	18
907835	59	0	0	0	0	7	23	23
907845	54	0	0	0	0	7	24	24
907855	58	0	0	0	0	7	25	25
907865	58	0	0	0	0	7	26	26
907875	42	0	0	0	0	5	9	9
907885	38	0	0	0	0	0	5	5
907895	43	0	0	0	0	0	5	5
907905	44	0	0	0	0	0	5	5
907915	45	0	0	0	0	0	5	5
907925	46	0	0	0	0	0	5	5
907935	49	0	0	0	0	0	5	5
907945	47	0	0	0	0	0	1	1
907955	49	0	0	0	0	0	1	1
907965	42	0	0	0	0	0	0	0
907975	46	0	0	0	0	0	0	0
907985	52	0	0	0	0	0	0	0
907995	53	0	0	0	0	0	0	0
908005	51	0	0	0	0	0	0	0
908015	53	0	0	0	0	0	0	0
908025	54	0	0	0	0	0	0	0
908035	57	0	0	0	0	0	0	0
908045	63	0	0	0	0	0	0	0
908055	64	0	0	0	0	0	0	0
908065	67	0	0	0	0	0	0	0
908075	69	0	0	0	0	0	0	0
908085	66	0	0	0	0	0	0	0
908095	61	0	0	0	0	0	0	0
908105	62	0	0	0	0	0	0	0
908115	62	0	0	0	0	0	1	1
908125	59	0	0	0	0	0	1	1
908135	54	0	0	0	0	0	1	1
908145	53	0	0	0	0	0	1	1
908155	52	0	0	0	0	0	1	1
908165	53	0	0	0	0	0	1	1
908175	52	0	0	0	0	0	2	2
908185	48	0	0	0	0	0	4	4
908195	47	0	0	0	0	0	4	4
908205	46	0	0	0	0	0	5	5
908215	41	0	0	0	0	0	5	5
908225	42	0	0	0	0	0	4	4
908235	42	0	0	0	0	0	4	4
908245	43	0	0	0	0	0	4	4
908255	43	0	0	0	0	0	3	3
908265	40	0	0	0	0	0	3	3
908275	34	0	0	0	0	0	1	1
908285	32	0	0	0	0	0	0	0
908295	35	0	0	0	0	0	0	0
908305	37	0	0	0	0	0	0	0
908315	41	0	0	0	0	0	0	0
908325	43	0	0	0	0	0	0	0
