bin	total	mapQltT	mapQ0
3450287	40	0	0
3450297	38	0	0
3450307	40	0	0
3450317	38	0	0
3450327	40	0	0
3450337	42	0	0
3450347	37	0	0
3450357	34	0	0
3450367	34	0	0
3450377	36	0	0
3450387	39	0	0
3450397	44	0	0
3450407	44	0	0
3450417	45	0	0
3450427	45	0	0
3450437	47	0	0
3450447	48	2	0
3450457	55	11	0
3450467	71	27	0
3450477	85	41	0
3450487	90	46	0
3450497	90	51	0
3450507	91	53	0
3450517	90	57	0
3450527	87	58	0
3450537	88	58	0
3450547	80	53	0
3450557	73	45	0
3450567	60	32	0
3450577	53	20	0
3450587	49	13	0
3450597	47	8	0
3450607	45	3	0
3450617	49	1	0
3450627	48	0	0
3450637	52	0	0
3450647	56	0	0
3450657	60	0	0
3450667	62	0	0
3450677	62	0	0
3450687	60	0	0
3450697	58	0	0
3450707	57	0	0
3450717	56	0	0
3450727	56	0	0
3450737	55	0	0
3450747	51	0	0
3450757	48	0	0
3450767	46	0	0
3450777	37	0	0
3450787	37	0	0
3450797	40	0	0
3450807	39	0	0
3450817	38	0	0
3450827	34	0	0
3450837	33	0	0
3450847	35	0	0
3450857	35	0	0
3450867	35	0	0
3450877	38	0	0
3450887	40	0	0
3450897	42	0	0
3450907	43	0	0
3450917	44	0	0
3450927	47	0	0
3450937	49	0	0
3450947	50	0	0
3450957	50	0	0
3450967	49	0	0
3450977	47	0	0
3450987	44	0	0
3450997	39	0	0
3451007	39	0	0
3451017	40	0	0
3451027	34	0	0
3451037	33	0	0
3451047	34	0	0
3451057	38	0	0
3451067	42	0	0
3451077	44	0	0
3451087	45	0	0
3451097	45	0	0
3451107	45	0	0
3451117	45	0	0
3451127	45	0	0
3451137	44	0	0
3451147	43	0	0
3451157	39	0	0
3451167	36	0	0
3451177	34	0	0
3451187	37	0	0
3451197	41	0	0
3451207	42	0	0
3451217	41	0	0
3451227	42	0	0
3451237	42	0	0
3451247	41	0	0
3451257	43	0	0
3451267	42	0	0
3451277	45	0	0
