bin	total	mapQltT	mapQ0
4063738	44	0	0
4063767	48	0	0
4063796	50	0	0
4063825	53	0	0
4063854	54	0	0
4063883	47	0	0
4063912	42	0	0
4063941	48	0	0
4063970	53	0	0
4063999	56	0	0
4064028	54	0	0
4064057	46	0	0
4064086	49	0	0
4064115	53	0	0
4064144	55	0	0
4064173	60	0	0
4064202	60	0	0
4064231	59	1	0
4064260	55	1	0
4064289	53	1	0
4064318	48	0	0
4064347	39	0	0
4064376	40	7	0
4064405	56	21	0
4064434	68	36	2
4064463	93	50	8
4064492	113	62	13
4064521	100	47	11
4064550	78	28	7
4064579	71	17	2
4064608	87	22	2
4064637	103	36	3
4064666	99	38	5
4064695	88	37	6
4064724	55	19	4
4064753	47	9	3
4064782	34	2	0
4064811	38	4	0
4064840	38	4	0
4064869	37	2	0
4064898	36	0	0
4064927	2	1	0
4064956	6	5	0
4064985	8	7	0
4065014	7	5	0
4065043	15	6	0
4065072	15	6	1
4065101	18	10	0
4065130	15	11	0
4065159	20	10	0
4065188	21	8	1
4065217	17	5	1
4065246	8	2	0
4065275	6	4	0
4065304	10	5	0
4065333	25	11	1
4065362	30	12	1
4065391	28	11	1
4065420	20	8	1
4065449	4	1	1
4065478	1	1	0
4065507	0	0	0
4065536	0	0	0
4065565	0	0	0
4065594	1	0	1
4065623	1	0	1
4065652	0	0	0
4065681	3	2	0
4065710	5	3	1
4065739	3	1	0
4065768	6	3	0
4065797	8	6	1
4065826	5	4	0
4065855	0	0	0
4065884	0	0	0
4065913	0	0	0
4065942	2	0	1
4065971	2	1	1
4066000	0	0	0
4066029	1	1	0
4066058	7	5	0
4066087	10	7	1
4066116	11	7	1
4066145	8	4	1
4066174	5	1	1
4066203	7	3	2
4066232	8	3	1
4066261	6	2	0
4066290	4	2	0
4066319	7	4	1
4066348	27	11	2
4066377	64	27	0
4066406	87	40	0
4066435	91	41	0
4066464	70	28	0
4066493	47	12	0
4066522	34	8	0
4066551	21	5	0
4066580	16	4	0
4066609	13	1	1
