bin	reads	orphaned	inverted	samestrand	secondary	supplementary	clipped	diffmol
4063738	45	1	36	0	0	0	0	0
4063767	50	1	34	0	0	0	0	0
4063796	49	0	32	0	0	0	0	0
4063825	60	0	35	0	0	0	0	0
4063854	69	0	38	0	0	0	1	1
4063883	70	0	37	0	0	0	1	1
4063912	73	0	36	0	0	0	1	1
4063941	72	0	34	0	0	0	1	1
4063970	78	0	37	0	0	0	0	0
4063999	71	0	33	0	0	0	0	0
4064028	66	0	29	0	0	0	0	0
4064057	70	0	34	0	0	0	0	0
4064086	58	0	28	0	0	0	0	0
4064115	64	0	34	0	0	0	0	0
4064144	73	0	40	0	0	0	0	0
4064173	76	0	42	0	0	0	0	0
4064202	76	0	41	0	0	0	2	2
4064231	73	0	39	0	0	0	3	3
4064260	74	0	36	0	0	0	5	5
4064289	71	1	33	1	0	0	9	9
4064318	70	1	31	1	0	0	11	11
4064347	63	1	28	1	0	0	9	9
4064376	59	1	28	0	0	0	9	9
4064405	68	0	31	0	0	0	11	11
4064434	74	0	36	0	0	0	21	21
4064463	90	0	46	0	0	0	32	32
4064492	91	0	49	0	0	0	35	35
4064521	89	0	47	0	0	0	28	28
4064550	81	0	40	0	0	0	27	27
4064579	73	0	32	0	0	0	21	21
4064608	90	0	41	0	0	0	40	40
4064637	100	0	47	0	0	0	46	46
4064666	94	0	50	0	0	0	39	39
4064695	92	0	57	0	0	0	35	35
4064724	89	0	55	0	0	0	20	20
4064753	79	0	43	0	0	0	7	7
4064782	71	0	39	0	0	0	4	4
4064811	72	0	39	0	0	0	7	7
4064840	69	0	36	0	0	0	9	9
4064869	66	0	34	0	0	1	19	19
4064898	55	0	29	0	0	1	18	18
4064927	35	0	20	0	0	0	7	7
4064956	43	0	22	0	0	6	10	10
4064985	39	0	20	0	0	6	11	11
4065014	34	0	17	0	0	0	8	8
4065043	43	0	21	0	0	0	13	13
4065072	51	0	28	0	0	0	14	14
4065101	47	0	25	0	0	0	14	14
4065130	47	0	27	0	0	0	16	16
4065159	42	0	22	0	0	0	5	5
4065188	40	0	17	0	0	2	7	7
4065217	34	0	10	0	0	2	3	3
4065246	43	0	18	0	0	0	4	4
4065275	46	0	22	0	0	0	3	3
4065304	49	0	24	0	0	0	4	4
4065333	55	0	30	0	0	0	4	4
4065362	51	0	30	0	0	0	1	1
4065391	45	0	27	0	0	0	2	2
4065420	47	0	27	0	0	0	2	2
4065449	33	0	19	0	0	0	1	1
4065478	37	0	22	0	0	0	1	1
4065507	36	0	17	0	0	0	2	2
4065536	34	0	15	0	0	0	2	2
4065565	31	0	15	0	0	0	2	2
4065594	38	0	16	0	0	0	2	2
4065623	37	0	16	0	0	0	3	3
4065652	37	0	15	0	0	0	1	1
4065681	39	0	15	0	0	0	3	3
4065710	45	0	19	0	0	0	4	4
4065739	38	0	16	0	0	0	3	3
4065768	37	0	18	0	0	0	2	2
4065797	39	0	21	0	0	0	3	3
4065826	35	0	17	0	0	0	2	2
4065855	40	0	23	0	0	0	2	2
4065884	46	0	25	0	0	0	2	2
4065913	42	0	22	0	0	0	2	2
4065942	40	0	20	0	0	5	7	7
4065971	30	0	15	0	0	5	7	7
4066000	30	0	15	0	0	5	7	7
4066029	26	1	14	0	0	1	2	2
4066058	35	1	18	0	0	1	3	3
4066087	43	1	22	0	0	0	2	2
4066116	46	1	21	0	0	0	2	2
4066145	42	1	21	0	0	0	1	1
4066174	41	0	19	0	0	0	3	3
4066203	37	0	17	0	0	0	4	4
4066232	35	0	14	0	0	0	5	5
4066261	43	0	18	0	0	2	13	13
4066290	48	0	21	0	0	3	21	21
4066319	57	0	25	0	0	4	23	23
4066348	70	0	34	0	0	1	25	25
4066377	94	0	45	0	0	1	30	30
4066406	99	0	43	0	0	1	31	31
4066435	116	0	52	0	0	9	39	39
4066464	89	0	40	0	0	9	19	19
4066493	73	0	36	0	0	9	16	16
4066522	45	0	25	0	0	0	3	3
4066551	35	0	20	0	0	0	5	5
4066580	38	0	24	0	0	0	7	7
4066609	40	0	25	0	0	0	7	7
